# bench_date,"2026-05-14_00-43-31"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"05f1a9a"

section,problem,expected_status,rating,ip,ip_time_s
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.051383
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.025636
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005157
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.005845
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005322
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006190
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006245
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.014623
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.007279
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.007966
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.007021
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006313
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005895
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006746
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005634
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006675
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006757
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN034-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007483
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN035-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.008291
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN036+1.p","Theorem","0.05 v9.1.0","Timeout",3.017503
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN036-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.008598
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN037-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.007188
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN038-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.013994
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN039-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.010659
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN040+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005959
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN040-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005342
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN041+1.p","Theorem","0.00 v2.3.0","Unsatisfiable",0.005757
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN041-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004839
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN044+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.006056
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN044-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005883
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN045+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005676
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN045-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005961
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN046+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005398
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN046-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005488
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN047+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.005739
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN047-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005549
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN048+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.004730
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN048-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.004849
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN049+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.004772
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN049-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.004536
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN050+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005116
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN050-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.004819
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN051+1.p","Theorem","0.00 v5.4.0","Unsatisfiable",0.005111
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN051-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004804
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN052+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.004844
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN052-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005141
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN053+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005951
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN053-1.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.005730
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN054+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006644
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN054-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007583
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN055+1.p","ContradictoryAxioms","0.00 v8.1.0","Unsatisfiable",0.006093
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN055-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007155
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN056+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.030865
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN056-1.p","Satisfiable","0.00 v2.1.0","Timeout",3.006014
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN057+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.008743
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN057-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007939
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN058+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006856
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN058-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006390
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN059+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.767194
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN059-1.p","Satisfiable","0.00 v2.2.0","Timeout",3.008153
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN060+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005512
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN060-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005558
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN061+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.005456
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN061-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005487
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN062+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005421
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN062-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005647
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN063+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.007249
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN063-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007210
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN064+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.005242
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN064-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005397
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN065+1.p","Theorem","0.00 v6.3.0","Unsatisfiable",0.006154
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN065-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.005669
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN066+1.p","Theorem","0.05 v9.1.0","Unsatisfiable",0.005528
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN066-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.005075
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN067+1.p","Theorem","0.15 v9.1.0","Timeout",3.009779
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN067-1.p","Unsatisfiable","0.31 v9.1.0","Timeout",3.007287
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN068+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006798
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN068-1.p","Unsatisfiable","0.00 v5.4.0","Unsatisfiable",0.007153
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN069+1.p","ContradictoryAxioms","0.00 v6.3.0","Unsatisfiable",0.008666
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN069-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.011645
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN070+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.013092
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN070-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.025600
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN071+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006469
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN071-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.006547
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN072+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.075958
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN072-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.075134
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN073+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.006692
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN073-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007182
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN074+1.p","Theorem","0.18 v9.1.0","Timeout",3.010453
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN074-1.p","Unsatisfiable","0.05 v9.1.0","Unsatisfiable",1.143160
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN075+1.p","Theorem","0.18 v9.1.0","Timeout",3.011114
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN075-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.009916
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN076+1.p","Theorem","0.82 v9.1.0","Timeout",3.017525
