# bench_date,"2026-05-14_00-45-18"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"05f1a9a"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.018245,"Theorem",0.297456,"Theorem",0.074360,"Unsatisfiable",0.031972
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.007084,"Unsatisfiable",0.026223,"Unsatisfiable",0.006173,"Unsatisfiable",0.014619
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005484,"Theorem",0.010424,"Theorem",0.005708,"Unsatisfiable",0.014423
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.006325,"Unsatisfiable",0.011427,"Unsatisfiable",0.006696,"Unsatisfiable",0.019231
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005710,"Unsatisfiable",0.010181,"Unsatisfiable",0.004998,"Unsatisfiable",0.014057
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006344,"Unsatisfiable",0.010442,"Unsatisfiable",0.008573,"Unsatisfiable",0.023600
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008896,"Unsatisfiable",0.010933,"Unsatisfiable",0.004848,"Unsatisfiable",0.013992
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.013197,"Unsatisfiable",0.034475,"Unsatisfiable",0.005253,"Timeout",3.222579
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.006993,"Unsatisfiable",0.071915,"Unsatisfiable",0.005662,"Unsatisfiable",1.611267
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.008221,"Unsatisfiable",0.054847,"Unsatisfiable",0.012099,"Timeout",3.050628
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.006704,"Unsatisfiable",0.051527,"Unsatisfiable",0.006639,"Timeout",3.509386
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005816,"Unsatisfiable",0.032009,"Unsatisfiable",0.003935,"Unsatisfiable",0.012991
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005597,"Unsatisfiable",0.009140,"Unsatisfiable",0.003997,"Unsatisfiable",0.013671
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007281,"Unsatisfiable",0.009307,"Unsatisfiable",0.004127,"Unsatisfiable",0.013158
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005373,"Unsatisfiable",0.009535,"Unsatisfiable",0.004250,"Unsatisfiable",0.013720
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006347,"Unsatisfiable",0.009748,"Unsatisfiable",0.004243,"Unsatisfiable",0.013373
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007051,"Unsatisfiable",0.009813,"Unsatisfiable",0.011188,"Timeout",3.123829
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN034-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006525,"Unsatisfiable",0.029974,"Unsatisfiable",0.005624,"Unsatisfiable",0.014692
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN035-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.008436,"Unsatisfiable",0.011143,"Unsatisfiable",0.004850,"Unsatisfiable",0.017179
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN036+1.p","Theorem","0.05 v9.1.0","Timeout",3.018116,"Theorem",0.035961,"Theorem",0.523162,"Unsatisfiable",0.015684
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN036-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.009491,"Unsatisfiable",0.030180,"Unsatisfiable",0.564865,"Timeout",3.427837
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN037-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.007077,"Unsatisfiable",0.035955,"Unsatisfiable",0.007280,"Unsatisfiable",0.020850
