# bench_date,"2026-05-15_02-34-12"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SYN"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"8dfcd15"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.061393
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.020686
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.006055
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.006580
result,"SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005335
result,"SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007054
result,"SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006923
result,"SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.014593
result,"SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.007687
result,"SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.009807
result,"SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.017688
result,"SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.009383
result,"SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.014962
result,"SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007998
result,"SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007019
result,"SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.015116
result,"SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.009018
result,"SYN034-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007631
result,"SYN035-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.008529
result,"SYN036+1.p","Theorem","0.05 v9.1.0","Timeout",3.019161
result,"SYN036-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.009446
result,"SYN037-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.007813
result,"SYN038-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.014557
result,"SYN039-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.007842
result,"SYN040+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.010297
result,"SYN040-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.009785
result,"SYN041+1.p","Theorem","0.00 v2.3.0","Unsatisfiable",0.011063
result,"SYN041-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006800
result,"SYN044+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.007935
result,"SYN044-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.014382
result,"SYN045+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.008630
result,"SYN045-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008444
result,"SYN046+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.006033
result,"SYN046-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005960
result,"SYN047+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.007136
result,"SYN047-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006675
result,"SYN048+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007888
result,"SYN048-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005915
result,"SYN049+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.007476
result,"SYN049-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.005598
result,"SYN050+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.006409
result,"SYN050-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.006975
result,"SYN051+1.p","Theorem","0.00 v5.4.0","Unsatisfiable",0.006557
result,"SYN051-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006105
result,"SYN052+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006515
result,"SYN052-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006482
result,"SYN053+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007020
result,"SYN053-1.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.007236
result,"SYN054+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007536
result,"SYN054-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008864
result,"SYN055+1.p","ContradictoryAxioms","0.00 v8.1.0","Unsatisfiable",0.008580
result,"SYN055-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008752
result,"SYN056+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.031670
result,"SYN056-1.p","Satisfiable","0.00 v2.1.0","Timeout",3.007023
result,"SYN057+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007676
result,"SYN057-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008096
result,"SYN058+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007036
result,"SYN058-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006767
result,"SYN059+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.771355
result,"SYN059-1.p","Satisfiable","0.00 v2.2.0","Timeout",3.007242
result,"SYN060+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007183
result,"SYN060-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006744
result,"SYN061+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.007774
result,"SYN061-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006895
result,"SYN062+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006604
result,"SYN062-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007798
result,"SYN063+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.009095
result,"SYN063-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008987
result,"SYN064+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.007249
result,"SYN064-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.007487
result,"SYN065+1.p","Theorem","0.00 v6.3.0","Unsatisfiable",0.005799
result,"SYN065-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.009234
result,"SYN066+1.p","Theorem","0.05 v9.1.0","Unsatisfiable",0.005657
result,"SYN066-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.007184
result,"SYN067+1.p","Theorem","0.15 v9.1.0","Timeout",3.007216
result,"SYN067-1.p","Unsatisfiable","0.31 v9.1.0","Timeout",3.084923
result,"SYN068+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007818
result,"SYN068-1.p","Unsatisfiable","0.00 v5.4.0","Unsatisfiable",0.007159
result,"SYN069+1.p","ContradictoryAxioms","0.00 v6.3.0","Unsatisfiable",0.008286
result,"SYN069-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.011645
result,"SYN070+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.012385
result,"SYN070-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.025818
result,"SYN071+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006783
result,"SYN071-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.007729
result,"SYN072+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.077226
result,"SYN072-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.076562
result,"SYN073+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005863
result,"SYN073-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005892
result,"SYN074+1.p","Theorem","0.18 v9.1.0","Timeout",3.008504
result,"SYN074-1.p","Unsatisfiable","0.05 v9.1.0","Unsatisfiable",1.149461
result,"SYN075+1.p","Theorem","0.18 v9.1.0","Timeout",3.008006
result,"SYN075-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.007903
result,"SYN076+1.p","Theorem","0.82 v9.1.0","Timeout",3.009391
result,"SYN076-1.p","Unsatisfiable","0.82 v9.1.0","Unsatisfiable",0.508120
result,"SYN077+1.p","Theorem","0.18 v9.1.0","Timeout",3.006473
result,"SYN077-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.006563
result,"SYN078+1.p","Theorem","0.06 v9.0.0","Timeout",3.010602
result,"SYN078-1.p","Satisfiable","0.12 v9.1.0","Timeout",3.011822
result,"SYN079+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.027520
result,"SYN079-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.006648
result,"SYN080+1.p","Theorem","0.00 v6.3.0","Unsatisfiable",0.025407
result,"SYN080-1.p","Unsatisfiable","0.04 v9.1.0","Unsatisfiable",0.007047
result,"SYN081+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.014870
result,"SYN081-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.111008
result,"SYN082+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.014029
result,"SYN082-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.028961
result,"SYN083+1.p","Theorem","0.09 v9.1.0","Unsatisfiable",0.034029
result,"SYN083-1.p","Unsatisfiable","0.04 v9.1.0","Unsatisfiable",0.006227
result,"SYN084+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.549499
result,"SYN084-1.p","Satisfiable","0.00 v5.4.0","Timeout",3.014945
result,"SYN103-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.193814
result,"SYN104-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.137472
result,"SYN105-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.108374
result,"SYN106-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.110505
result,"SYN107-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.198605
result,"SYN108-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.200442
result,"SYN109-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.272559
result,"SYN110-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.801079
result,"SYN111-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.305751
result,"SYN112-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.126008
result,"SYN113-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.229198
