# bench_date,"2026-05-15_13-13-44"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SYN"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.103390,"Theorem",0.037360,"Theorem",0.006544,"Unsatisfiable",0.037369
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.037971,"Unsatisfiable",0.013800,"Unsatisfiable",0.006295,"Unsatisfiable",0.018012
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005921,"Theorem",0.011287,"Theorem",0.005135,"Unsatisfiable",0.014965
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.006450,"Unsatisfiable",0.012833,"Unsatisfiable",0.005949,"Unsatisfiable",0.019607
result,"SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005832,"Unsatisfiable",0.011996,"Unsatisfiable",0.005149,"Unsatisfiable",0.014723
result,"SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006340,"Unsatisfiable",0.011475,"Unsatisfiable",0.005440,"Unsatisfiable",0.016222
result,"SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007841,"Unsatisfiable",0.012311,"Unsatisfiable",0.005109,"Unsatisfiable",0.015001
result,"SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.013917,"Unsatisfiable",0.038715,"Unsatisfiable",0.005324,"Timeout",3.413228
result,"SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.007413,"Unsatisfiable",0.125238,"Unsatisfiable",0.005680,"Unsatisfiable",2.161179
result,"SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.007833,"Unsatisfiable",0.035224,"Unsatisfiable",0.006733,"Timeout",3.533779
result,"SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.007473,"Unsatisfiable",0.037264,"Unsatisfiable",0.006947,"Timeout",3.954391
result,"SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006436,"Unsatisfiable",0.053761,"Unsatisfiable",0.005088,"Unsatisfiable",0.014123
result,"SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006492,"Unsatisfiable",0.011811,"Unsatisfiable",0.005007,"Unsatisfiable",0.014554
result,"SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007949,"Unsatisfiable",0.012286,"Unsatisfiable",0.004947,"Unsatisfiable",0.015035
