# bench_date,"2026-05-15_13-13-48"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SET"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SET"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"8dfcd15"

section,problem,expected_status,rating,ip,ip_time_s
result,"SET001-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.026143
result,"SET002-1.p","Unsatisfiable","0.00 v5.0.0","Unsatisfiable",0.155046
result,"SET003-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008377
result,"SET004-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008091
result,"SET005-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.025851
result,"SET006-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.009811
result,"SET007-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.008311
result,"SET008-1.p","Unsatisfiable","0.00 v7.0.0","Unsatisfiable",0.042400
result,"SET009-1.p","Unsatisfiable","0.00 v7.0.0","Timeout",3.009168
result,"SET010-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.010611
result,"SET011-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.023481
result,"SET012-1.p","Unsatisfiable","0.31 v9.1.0","Timeout",3.037298
result,"SET013-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.008941
result,"SET015-1.p","Unsatisfiable","0.23 v9.1.0","Unsatisfiable",0.076567
result,"SET016+1.p","Theorem","0.55 v9.0.0","Unsatisfiable",0.138004
result,"SET016-1.p","Unsatisfiable","0.05 v9.0.0","Unsatisfiable",0.006362
result,"SET017+1.p","Theorem","0.33 v9.1.0","Unsatisfiable",0.137998
result,"SET018+1.p","Theorem","0.61 v9.1.0","Unsatisfiable",0.140870
result,"SET018-1.p","Unsatisfiable","0.14 v9.1.0","Unsatisfiable",0.006372
result,"SET020+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.137842
result,"SET024+1.p","Theorem","0.09 v9.1.0","Timeout",3.014683
result,"SET025+1.p","Theorem","0.09 v9.1.0","Timeout",3.006685
result,"SET027+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.163857
result,"SET043+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005042
result,"SET044+1.p","Theorem","0.05 v9.1.0","Unsatisfiable",0.007757
result,"SET045+1.p","Theorem","0.05 v9.1.0","Timeout",3.038149
result,"SET046+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.014102
result,"SET047+1.p","Theorem","0.00 v6.1.0","Unsatisfiable",0.079061
result,"SET054+1.p","Theorem","0.03 v9.0.0","Unsatisfiable",0.078263
result,"SET055+1.p","Theorem","0.06 v8.1.0","Unsatisfiable",0.017655
result,"SET056+1.p","Theorem","0.39 v8.1.0","Unsatisfiable",0.137643
result,"SET060+1.p","Theorem","0.06 v9.1.0","Unsatisfiable",0.117679
result,"SET061+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.015487
result,"SET062+1.p","Theorem","0.12 v9.1.0","Unsatisfiable",0.017354
result,"SET063+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.146809
result,"SET064+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.022974
result,"SET065+1.p","Theorem","0.12 v9.0.0","Timeout",3.006921
result,"SET066+1.p","Theorem","0.76 v9.1.0","Unsatisfiable",0.121711
result,"SET067+1.p","Theorem","0.27 v9.1.0","Unsatisfiable",0.145250
result,"SET069+1.p","Theorem","0.73 v9.1.0","Timeout",3.009767
result,"SET071+1.p","Theorem","0.42 v9.0.0","Timeout",3.009716
result,"SET072+1.p","Theorem","0.33 v9.1.0","Unsatisfiable",0.141112
result,"SET073+1.p","Theorem","0.12 v9.0.0","Unsatisfiable",0.141122
result,"SET074+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.141167
result,"SET076+1.p","Theorem","0.30 v9.0.0","Unsatisfiable",0.166268
result,"SET077+1.p","Theorem","0.06 v9.1.0","Timeout",3.006664
result,"SET079+1.p","Theorem","0.09 v9.0.0","Unsatisfiable",0.140317
