# bench_date,"2026-05-15_13-13-54"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SET"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SET"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"SET001-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.015875,"Unsatisfiable",0.033757,"Unsatisfiable",0.005576,"Unsatisfiable",0.016501
result,"SET002-1.p","Unsatisfiable","0.00 v5.0.0","Unsatisfiable",0.101840,"Unsatisfiable",0.016394,"Unsatisfiable",0.006112,"Unsatisfiable",0.068697
result,"SET003-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008551,"Unsatisfiable",0.012584,"Unsatisfiable",0.006664,"Unsatisfiable",0.025848
result,"SET004-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008417,"Unsatisfiable",0.012615,"Unsatisfiable",0.006141,"Unsatisfiable",0.059873
result,"SET005-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.008022,"Unsatisfiable",0.081013,"Unsatisfiable",0.024269,"Unsatisfiable",0.027431
result,"SET006-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.009738,"Unsatisfiable",0.012806,"Unsatisfiable",0.006371,"Unsatisfiable",0.030521
result,"SET007-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.009942,"Unsatisfiable",0.068148,"Unsatisfiable",0.062952,"Timeout",3.582307
result,"SET008-1.p","Unsatisfiable","0.00 v7.0.0","Unsatisfiable",0.027374,"Unsatisfiable",0.041183,"Unsatisfiable",0.007353,"Unsatisfiable",0.029842
result,"SET009-1.p","Unsatisfiable","0.00 v7.0.0","Timeout",3.007838,"Unsatisfiable",0.028226,"Unsatisfiable",0.007470,"Unsatisfiable",0.057970
result,"SET010-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.011081,"Unsatisfiable",0.064336,"Unsatisfiable",0.012485,"Timeout",3.174412
result,"SET011-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.008537,"Unsatisfiable",0.029478,"Unsatisfiable",0.013587,"Timeout",3.230966
result,"SET012-1.p","Unsatisfiable","0.31 v9.1.0","Timeout",3.010285,"Unsatisfiable",0.030936,"Unsatisfiable",0.017473,"Unsatisfiable",0.352089
result,"SET013-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.010566,"Unsatisfiable",0.076449,"Unsatisfiable",0.038790,"Timeout",3.341238
result,"SET015-1.p","Unsatisfiable","0.23 v9.1.0","Unsatisfiable",0.075459,"Unsatisfiable",0.047992,"Unsatisfiable",0.108679,"Timeout",4.089999
result,"SET016+1.p","Theorem","0.55 v9.0.0","Unsatisfiable",0.139388,"Theorem",0.040322,"Theorem",0.152689,"Timeout",3.147818
result,"SET016-1.p","Unsatisfiable","0.05 v9.0.0","Unsatisfiable",0.006397,"Unsatisfiable",0.067816,"Unsatisfiable",0.005277,"Timeout",3.292796
result,"SET017+1.p","Theorem","0.33 v9.1.0","Unsatisfiable",0.139021,"Theorem",0.035905,"Theorem",0.011081,"Timeout",3.599225
result,"SET018+1.p","Theorem","0.61 v9.1.0","Unsatisfiable",0.139383,"Theorem",0.584960,"Theorem",0.206666,"Timeout",3.137182
result,"SET018-1.p","Unsatisfiable","0.14 v9.1.0","Unsatisfiable",0.006113,"Unsatisfiable",0.044460,"Unsatisfiable",0.005348,"Timeout",4.134791
result,"SET020+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.138713,"Theorem",0.029046,"Theorem",0.059528,"Timeout",3.697350
result,"SET024+1.p","Theorem","0.09 v9.1.0","Timeout",3.007403,"Theorem",0.050417,"Theorem",0.010357,"Timeout",3.215977
result,"SET025+1.p","Theorem","0.09 v9.1.0","Timeout",3.007292,"Theorem",0.031687,"Theorem",0.008208,"Timeout",3.209392
result,"SET027+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.168222,"Theorem",0.030899,"Theorem",0.022932,"Unsatisfiable",0.158597
result,"SET043+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005527,"Theorem",0.010710,"Theorem",0.005062,"Unsatisfiable",0.014583
result,"SET044+1.p","Theorem","0.05 v9.1.0","Unsatisfiable",0.008622,"Theorem",0.011203,"Theorem",0.004985,"Unsatisfiable",0.014881
result,"SET045+1.p","Theorem","0.05 v9.1.0","Timeout",3.039587,"Theorem",0.012086,"Theorem",0.004981,"Unsatisfiable",0.015670
result,"SET046+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.008188,"Theorem",0.031298,"Theorem",0.004745,"Unsatisfiable",0.014075
result,"SET047+1.p","Theorem","0.00 v6.1.0","Unsatisfiable",0.078193,"Theorem",0.012001,"Theorem",0.004854,"Unsatisfiable",0.014020
