# bench_date,"2026-05-15_13-14-07"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/PUZ"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/PUZ"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"8dfcd15"

section,problem,expected_status,rating,ip,ip_time_s
result,"PUZ001+1.p","Theorem","0.09 v9.1.0","Unsatisfiable",0.018545
result,"PUZ001-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.016690
result,"PUZ002-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007321
result,"PUZ003-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.010460
result,"PUZ004-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006730
result,"PUZ005+1.p","Theorem","0.00 v9.1.0","Timeout",3.008180
result,"PUZ005-1.p","Unsatisfiable","0.00 v2.5.0","Timeout",3.014055
result,"PUZ006-1.p","Unsatisfiable","0.05 v9.0.0","Unsatisfiable",0.045505
result,"PUZ007-1.p","Unsatisfiable","0.05 v9.1.0","Unsatisfiable",0.036004
result,"PUZ008-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.007472
result,"PUZ009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008419
result,"PUZ010-1.p","Unsatisfiable","0.12 v9.1.0","Timeout",3.007938
result,"PUZ011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.054650
result,"PUZ012-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.090409
result,"PUZ013-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007210
result,"PUZ014-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.016059
result,"PUZ015-1.p","Satisfiable","0.75 v9.1.0","Timeout",3.007957
result,"PUZ016-1.p","Unsatisfiable","0.17 v9.1.0","Timeout",3.010666
result,"PUZ017-1.p","Unsatisfiable","0.12 v9.1.0","Timeout",3.007633
result,"PUZ018-1.p","Unsatisfiable","0.12 v9.1.0","Timeout",3.008256
result,"PUZ019-1.p","Unsatisfiable","0.00 v5.1.0","Timeout",3.006665
