# bench_date,"2026-05-15_13-14-31"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/PUZ"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/PUZ"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"PUZ001+1.p","Theorem","0.09 v9.1.0","Unsatisfiable",0.018931,"Theorem",0.011623,"Theorem",0.005427,"Unsatisfiable",0.016667
result,"PUZ001-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.016498,"Unsatisfiable",0.010206,"Unsatisfiable",0.004441,"Unsatisfiable",0.013991
result,"PUZ002-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006669,"Unsatisfiable",0.010278,"Unsatisfiable",0.004644,"Unsatisfiable",0.013847
result,"PUZ003-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.010112,"Unsatisfiable",0.009838,"Unsatisfiable",0.004710,"Unsatisfiable",0.014330
result,"PUZ004-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006740,"Unsatisfiable",0.010393,"Unsatisfiable",0.004574,"Unsatisfiable",0.014089
result,"PUZ005+1.p","Theorem","0.00 v9.1.0","Timeout",3.008214,"Theorem",0.037619,"Theorem",0.163464,"Timeout",3.224337
result,"PUZ005-1.p","Unsatisfiable","0.00 v2.5.0","Timeout",3.015679,"Unsatisfiable",0.082183,"Unsatisfiable",0.006897,"Unsatisfiable",0.250702
result,"PUZ006-1.p","Unsatisfiable","0.05 v9.0.0","Unsatisfiable",0.012221,"Unsatisfiable",0.013058,"Unsatisfiable",0.007358,"Unsatisfiable",0.025344
result,"PUZ007-1.p","Unsatisfiable","0.05 v9.1.0","Unsatisfiable",0.038487,"Unsatisfiable",0.014187,"Unsatisfiable",0.007094,"Unsatisfiable",0.026752
result,"PUZ008-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.007832,"Unsatisfiable",0.011505,"Unsatisfiable",0.008562,"Unsatisfiable",0.039497
