# bench_date,"2026-05-16_12-04-26"
# problem_dir,"/home/delahayed/problems/equality"
# home,"/home/delahaye/ip/bench/problems/equality"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"3b23b65"

section,problem,expected_status,rating,ip,ip_time_s
result,"eq_large_01.p","Unknown","","Unsatisfiable",0.013533
result,"eq_large_02.p","Unknown","","Unsatisfiable",0.005902
result,"eq_large_03.p","Unknown","","Unsatisfiable",0.005781
result,"eq_large_04.p","Unknown","","Unsatisfiable",0.006234
result,"eq_large_05.p","Unknown","","Unsatisfiable",0.006490
result,"eq_large_06.p","Unknown","","Unsatisfiable",0.006950
result,"eq_large_07.p","Unknown","","Unsatisfiable",0.006927
result,"eq_large_08.p","Unknown","","Unsatisfiable",0.005602
result,"eq_large_09.p","Unknown","","Unsatisfiable",0.005951
result,"eq_large_10.p","Unknown","","Timeout",3.006354
result,"eq_medium_01.p","Unknown","","Unsatisfiable",0.006182
result,"eq_medium_02.p","Unknown","","Unsatisfiable",0.005843
result,"eq_medium_03.p","Unknown","","Unsatisfiable",0.006076
result,"eq_medium_04.p","Unknown","","Unsatisfiable",0.006018
result,"eq_medium_05.p","Unknown","","Unsatisfiable",0.006391
result,"eq_medium_06.p","Unknown","","Unsatisfiable",0.007031
result,"eq_medium_07.p","Unknown","","Unsatisfiable",0.006418
result,"eq_medium_08.p","Unknown","","Unsatisfiable",0.005944
result,"eq_medium_09.p","Unknown","","Unsatisfiable",0.006280
result,"eq_medium_10.p","Unknown","","Unsatisfiable",0.006516
result,"eq_small_01.p","Unknown","","Unsatisfiable",0.005935
result,"eq_small_02.p","Unknown","","Unsatisfiable",0.006124
result,"eq_small_03.p","Unknown","","Unsatisfiable",0.005553
result,"eq_small_04.p","Unknown","","Unsatisfiable",0.005978
result,"eq_small_05.p","Unknown","","Unsatisfiable",0.006444
result,"eq_small_06.p","Unknown","","Unsatisfiable",0.005797
result,"eq_small_07.p","Unknown","","Unsatisfiable",0.005572
result,"eq_small_08.p","Unknown","","Unsatisfiable",0.006088
result,"eq_small_09.p","Unknown","","Unsatisfiable",0.006331
result,"eq_small_10.p","Unknown","","Unsatisfiable",0.006067

section,prover,scope,total,success,timeout,incomplete,unsound,error,avg_time_s
prover_stats,"ip","Tous",30,"29 (96.7%)","1 (3.3%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.106410
prover_stats,"ip","Theorem/Unsatisfiable",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
prover_stats,"ip","Theorem (FOF)",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
prover_stats,"ip","Unsatisfiable (CNF)",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
