# bench_date,"2026-05-20_22-54-00"
# problem_dir,"bench/problems/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,bench/logs
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"8727165"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.006132
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.004290
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.002337
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.004671
result,"SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003968
result,"SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007791
result,"SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005125
result,"SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",0.017941
result,"SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.003694
result,"SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",1.453329
result,"SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",1.311232
result,"SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005069
result,"SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004463
result,"SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005978
result,"SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004067
result,"SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004293
result,"SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.018281
result,"SYN034-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004510
result,"SYN035-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.004332
result,"SYN036+1.p","Theorem","0.05 v9.1.0","Timeout",3.013538
result,"SYN036-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.008820
result,"SYN037-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.004556
result,"SYN038-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",0.021357
result,"SYN039-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",2.810176
result,"SYN040+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005445
result,"SYN040-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003731
result,"SYN041+1.p","Theorem","0.00 v2.3.0","Unsatisfiable",0.003165
result,"SYN041-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003875
result,"SYN044+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.004895
result,"SYN044-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003993
result,"SYN045+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003147
