# bench_date,"2026-05-27_00-38-52"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SYN"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,30
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"fatal: not a git repository (or any parent up to mount point /storage)"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.153862
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.044342
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.006337
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.007737
result,"SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006973
result,"SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.009706
result,"SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008626
result,"SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",0.023928
result,"SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",30.008165
result,"SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",2.037107
result,"SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",1.826033
result,"SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006397
result,"SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007186
result,"SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008168
result,"SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006095
result,"SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007552
result,"SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.018360
