# bench_date,"2026-05-29_13-30-53"
# problem_dir,"bench/problems/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,bench/logs
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"c1be234"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.004505
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.005137
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003161
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.005234
result,"SYN008-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003537
result,"SYN009-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006538
result,"SYN011-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004624
result,"SYN012-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",0.018265
result,"SYN013-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.003777
result,"SYN014-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",1.100533
result,"SYN015-1.p","Unsatisfiable","0.09 v9.1.0","Unsatisfiable",0.821399
result,"SYN028-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005576
result,"SYN029-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004850
result,"SYN030-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005648
result,"SYN031-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004079
result,"SYN032-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003512
result,"SYN033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.017780
result,"SYN034-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003420
result,"SYN035-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.003704
result,"SYN036+1.p","Theorem","0.05 v9.1.0","Timeout",3.019028
result,"SYN036-1.p","Unsatisfiable","0.23 v9.1.0","Timeout",3.009354
result,"SYN037-1.p","Unsatisfiable","0.08 v9.1.0","Timeout",3.004896
result,"SYN038-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",0.021542
result,"SYN039-1.p","Unsatisfiable","0.08 v9.1.0","Unsatisfiable",2.682069
result,"SYN040+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003729
result,"SYN040-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004002
result,"SYN041+1.p","Theorem","0.00 v2.3.0","Unsatisfiable",0.003428
result,"SYN041-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.003209
result,"SYN044+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003440
result,"SYN044-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004274
result,"SYN045+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003065
result,"SYN045-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004417
result,"SYN046+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.003296
result,"SYN046-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.002201
result,"SYN047+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.004121
result,"SYN047-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.004043
result,"SYN048+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.002290
