# bench_date,"2026-05-29_14-29-52"
# problem_dir,"/home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,bench/logs
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.007529
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.005237
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.006310
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.005269
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.004808
result,"SYN000^1.p","Theorem","0.22 v9.1.0","Error",0.004986
result,"SYN000^2.p","Satisfiable","? v9.2.1","Error",0.004915
result,"SYN000^3.p","Satisfiable","1.00 v7.1.0","Error",0.005282
result,"SYN000^6.p","Unknown","1.00 v9.0.0","Error",0.004885
result,"SYN000^7.p","Unknown","1.00 v9.0.0","Error",0.005240
result,"SYN000_1.p","Theorem","0.12 v9.1.0","Error",0.005186
result,"SYN000_2.p","Satisfiable","1.00 v9.1.0","Error",0.004438
result,"SYN000_3.p","Satisfiable","0.75 v9.0.0","Error",0.004736
result,"SYN000_4.p","Satisfiable","1.00 v9.1.0","Error",0.004958
result,"SYN000_5.p","Theorem","0.62 v7.5.0","Error",0.005267
result,"SYN000_6.p","Unknown","1.00 v9.0.0","Error",0.006009
result,"SYN000_7.p","Unknown","1.00 v9.0.0","Error",0.005438
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005186
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.136339
result,"SYN001^4.001.p","CounterSatisfiable","0.67 v9.0.0","Error",0.005223
result,"SYN001^4.002.p","CounterSatisfiable","0.67 v9.0.0","Error",0.005271
result,"SYN001^4.003.p","CounterSatisfiable","0.67 v9.0.0","Error",0.004521
result,"SYN001^4.004.p","CounterSatisfiable","0.67 v9.0.0","Error",0.004691
result,"SYN002-1.007.008.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.032324
result,"SYN003-1.006.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.021664
result,"SYN004-1.007.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.017648
result,"SYN005-1.010.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.025620
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.008718
result,"SYN007+1.014.p","Theorem","0.00 v7.3.0","Error",33.101065

section,prover,scope,total,success,timeout,incomplete,unsound,error,avg_time_s
prover_stats,"ip","Tous",29,"9 (31.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","20 (69.0%)",1.153750
prover_stats,"ip","Theorem/Unsatisfiable",13,"9 (69.2%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","4 (30.8%)",2.567526
prover_stats,"ip","Theorem (FOF)",6,"2 (33.3%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","4 (66.7%)",5.521537
prover_stats,"ip","Unsatisfiable (CNF)",7,"7 (100.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.035518
