# bench_date,"2026-05-29_14-32-23"
# problem_dir,"/tmp/syn_test"
# home,
# logs_dir,bench/logs
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.007379
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.005211
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.006339
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.004991
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.005114
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005123
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.133784
result,"SYN002-1.007.008.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.033001
result,"SYN003-1.006.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.017236
result,"SYN004-1.007.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.019881
result,"SYN005-1.010.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.023953
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.008790
