# bench_date,"2026-05-17_17-40-15"
# problem_dir,"/home/delahayed/problems/casc/casc-30-2025/Problems/FOF"
# home,"/home/delahaye/ip/bench/problems/casc/casc-30-2025/Problems/FOF"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,"casc-30-2025_fof"
# only_ip,true
# version_ip,"c7cb440"

section,problem,expected_status,rating,ip,ip_time_s
result,"FEQ/AGT005+1.p","Unknown","","Timeout",3.246587
result,"FEQ/AGT011+2.p","Unknown","","Timeout",3.074980
result,"FEQ/AGT013+1.p","Unknown","","Timeout",3.011757
result,"FEQ/AGT013+2.p","Unknown","","Timeout",3.013498
result,"FEQ/AGT023+2.p","Unknown","","Timeout",3.013229
result,"FEQ/ALG049+1.p","Unknown","","Error",5.063312
result,"FEQ/ALG102+1.p","Unknown","","Error",5.282356
result,"FEQ/ALG104+1.p","Unknown","","Error",4.695307
result,"FEQ/ALG107+1.p","Unknown","","Timeout",3.107621
result,"FEQ/ALG127+1.p","Unknown","","Error",4.975968
result,"FEQ/ALG210+2.p","Unknown","","Timeout",3.019542
result,"FEQ/ALG215+2.p","Unknown","","Error",5.018435
result,"FEQ/ALG215+4.p","Unknown","","Error",5.006131
result,"FEQ/ALG216+4.p","Unknown","","Error",5.010190
result,"FEQ/BIO005+1.p","Unknown","","Error",0.109646
result,"FEQ/BIO006+1.p","Unknown","","Error",0.011477
result,"FEQ/CAT034+2.p","Unknown","","Timeout",3.596893
result,"FEQ/COM125+1.p","Unknown","","Timeout",3.417320
result,"FEQ/COM126+1.p","Unknown","","Timeout",3.407583
result,"FEQ/COM127+1.p","Unknown","","Timeout",3.403869
result,"FEQ/COM130+1.p","Unknown","","Timeout",3.402838
result,"FEQ/COM131+1.p","Unknown","","Timeout",3.399299
result,"FEQ/COM133+1.p","Unknown","","Timeout",3.400204
result,"FEQ/COM135+1.p","Unknown","","Timeout",3.405258
result,"FEQ/COM141+1.p","Unknown","","Timeout",3.399945
result,"FEQ/COM142+1.p","Unknown","","Timeout",3.411762
result,"FEQ/COM143+1.p","Unknown","","Timeout",3.409840
result,"FEQ/COM149+1.p","Unknown","","Timeout",3.405610
result,"FEQ/CSR003+1.p","Unknown","","Timeout",3.089692
result,"FEQ/CSR006+1.p","Unknown","","Timeout",3.011227
result,"FEQ/CSR015+1.p","Unknown","","Timeout",3.082191
result,"FEQ/CSR037+5.p","Unknown","","Error",5.041085
result,"FEQ/CSR040+4.p","Unknown","","Timeout",3.295179
result,"FEQ/CSR047+4.p","Unknown","","Timeout",3.154009
result,"FEQ/CSR047+5.p","Unknown","","Timeout",4.793532
result,"FEQ/CSR052+4.p","Unknown","","Timeout",3.157006
result,"FEQ/CSR058+4.p","Unknown","","Timeout",3.150835
result,"FEQ/CSR069+4.p","Unknown","","Timeout",3.150852
result,"FEQ/CSR117+1.p","Unknown","","Timeout",3.009507
result,"FEQ/CSR170+1.p","Unknown","","Error",5.078697
result,"FEQ/CSR201+1.p","Unknown","","Error",5.083677
result,"FEQ/CSR210+1.p","Unknown","","Error",5.083400
result,"FEQ/CSR218+1.p","Unknown","","Error",5.086029
result,"FEQ/CSR219+1.p","Unknown","","Error",5.082742
result,"FEQ/CSR228+1.p","Unknown","","Error",5.083309
result,"FEQ/CSR248+1.p","Unknown","","Error",5.084393
result,"FEQ/GEO084+1.p","Unknown","","Timeout",3.059104
result,"FEQ/GEO087+1.p","Unknown","","Unsatisfiable",0.025797
result,"FEQ/GEO088+1.p","Unknown","","Timeout",3.014889
result,"FEQ/GEO089+1.p","Unknown","","Timeout",3.007577
result,"FEQ/GEO109+1.p","Unknown","","Timeout",3.036625
result,"FEQ/GEO111+1.p","Unknown","","Timeout",3.010146
result,"FEQ/GEO125+1.p","Unknown","","Timeout",3.046314
result,"FEQ/GEO126+1.p","Unknown","","Timeout",3.010252
result,"FEQ/GEO127+1.p","Unknown","","Timeout",3.011184
result,"FEQ/GEO137+1.p","Unknown","","Timeout",3.010094
result,"FEQ/GEO169+2.p","Unknown","","Timeout",3.009270
result,"FEQ/GEO271+1.p","Unknown","","Timeout",3.017792
result,"FEQ/GEO274+1.p","Unknown","","Timeout",3.012895
result,"FEQ/GEO277+1.p","Unknown","","Timeout",3.017877
result,"FEQ/GEO278+1.p","Unknown","","Timeout",3.013915
result,"FEQ/GEO281+1.p","Unknown","","Timeout",3.012769
result,"FEQ/GEO282+1.p","Unknown","","Timeout",3.013658
result,"FEQ/GEO288+1.p","Unknown","","Timeout",3.023410
result,"FEQ/GEO290+1.p","Unknown","","Timeout",3.015246
result,"FEQ/GEO292+1.p","Unknown","","Timeout",3.013655
result,"FEQ/GEO293+1.p","Unknown","","Timeout",3.013018
result,"FEQ/GEO295+1.p","Unknown","","Timeout",3.014131
result,"FEQ/GEO298+1.p","Unknown","","Timeout",3.012810
result,"FEQ/GEO299+1.p","Unknown","","Timeout",3.013220
result,"FEQ/GEO300+1.p","Unknown","","Timeout",3.012871
result,"FEQ/GEO310+1.p","Unknown","","Timeout",3.013930
result,"FEQ/GEO311+1.p","Unknown","","Timeout",3.013004
result,"FEQ/GEO317+1.p","Unknown","","Timeout",3.014110
result,"FEQ/GEO319+1.p","Unknown","","Timeout",3.014087
result,"FEQ/GEO321+1.p","Unknown","","Timeout",3.013317
result,"FEQ/GEO323+1.p","Unknown","","Timeout",3.013177
result,"FEQ/GEO325+1.p","Unknown","","Timeout",3.013195
result,"FEQ/GEO331+1.p","Unknown","","Timeout",3.013145
result,"FEQ/GEO337+1.p","Unknown","","Timeout",3.014165
result,"FEQ/GEO340+1.p","Unknown","","Timeout",3.015270
result,"FEQ/GEO345+1.p","Unknown","","Timeout",3.013801
result,"FEQ/GEO350+1.p","Unknown","","Timeout",3.013584
result,"FEQ/GEO442+1.p","Unknown","","Error",5.045436
result,"FEQ/GEO445+1.p","Unknown","","Error",5.047635
result,"FEQ/GEO452+1.p","Unknown","","Error",5.047623
result,"FEQ/GEO475+1.p","Unknown","","Error",5.046956
result,"FEQ/GEO491+1.p","Unknown","","Timeout",3.091965
result,"FEQ/GEO495+1.p","Unknown","","Timeout",3.010802
result,"FEQ/GEO499+1.p","Unknown","","Timeout",3.009382
result,"FEQ/GEO500+1.p","Unknown","","Timeout",3.010611
result,"FEQ/GEO504+1.p","Unknown","","Timeout",3.009384
result,"FEQ/GEO507+1.p","Unknown","","Timeout",3.011055
result,"FEQ/GEO513+1.p","Unknown","","Timeout",3.010613
result,"FEQ/GEO514+1.p","Unknown","","Timeout",3.011319
result,"FEQ/GEO520+1.p","Unknown","","Timeout",3.010533
result,"FEQ/GEO524+1.p","Unknown","","Timeout",3.010991
result,"FEQ/GEO527+1.p","Unknown","","Timeout",3.012720
result,"FEQ/GEO532+1.p","Unknown","","Timeout",3.014637
result,"FEQ/GEO559+1.p","Unknown","","Timeout",3.027142
result,"FEQ/GEO593+1.p","Unknown","","Timeout",3.009536
result,"FEQ/GEO605+1.p","Unknown","","Timeout",3.010609
result,"FEQ/GEO610+1.p","Unknown","","Timeout",3.023268
result,"FEQ/GEO625+1.p","Unknown","","Timeout",3.010111
result,"FEQ/GEO641+1.p","Unknown","","Timeout",3.011270
result,"FEQ/GRA002+2.p","Unknown","","Unsatisfiable",0.402009
result,"FEQ/GRA007+2.p","Unknown","","Unsatisfiable",2.420124
result,"FEQ/GRA009+1.p","Unknown","","Unsatisfiable",0.138200
result,"FEQ/GRP622+2.p","Unknown","","Timeout",4.277310
result,"FEQ/GRP664+1.p","Unknown","","Timeout",3.006399
result,"FEQ/GRP666+6.p","Unknown","","Timeout",3.006356
result,"FEQ/GRP776+1.p","Unknown","","Timeout",3.036421
result,"FEQ/HAL001+1.p","Unknown","","Timeout",3.019506
result,"FEQ/HAL006+1.p","Unknown","","Timeout",3.010139
result,"FEQ/HWV090+1.p","Unknown","","Error",4.884427
result,"FEQ/HWV107+1.p","Unknown","","Error",4.782819
result,"FEQ/HWV128+1.p","Theorem","0.97 v7.1.0","Error",5.023413
result,"FEQ/ITP002+5.p","Unknown","","Timeout",4.352703
result,"FEQ/ITP003+1.p","Unknown","","Timeout",3.009373
result,"FEQ/ITP003+2.p","Unknown","","Timeout",3.013067
result,"FEQ/ITP004+2.p","Unknown","","Timeout",3.010053
result,"FEQ/ITP004+4.p","Unknown","","Timeout",4.632742
result,"FEQ/ITP004+5.p","Unknown","","Timeout",4.063275
result,"FEQ/ITP005+5.p","Unknown","","Timeout",3.481826
result,"FEQ/ITP006+1.p","Unknown","","Timeout",3.008696
result,"FEQ/ITP009+1.p","Unknown","","Timeout",3.007247
result,"FEQ/ITP012+4.p","Unknown","","Error",5.020047
result,"FEQ/ITP013+1.p","Unknown","","Timeout",3.006916
result,"FEQ/ITP015+4.p","Unknown","","Error",5.028392
result,"FEQ/ITP015+5.p","Unknown","","Error",5.023549
result,"FEQ/ITP019+5.p","Unknown","","Error",5.090872
result,"FEQ/ITP021+1.p","Unknown","","Unsatisfiable",0.291246
result,"FEQ/ITP023+4.p","Unknown","","Error",5.045915
result,"FEQ/KLE011+1.p","Unknown","","Timeout",3.308727
result,"FEQ/KLE071+1.p","Unknown","","Timeout",3.039288
result,"FEQ/KLE113+1.p","Unknown","","Timeout",3.109694
result,"FEQ/KLE132+1.p","Unknown","","Timeout",3.037788
result,"FEQ/KLE170+1.002.p","Unknown","","Timeout",3.015817
result,"FEQ/KRS133+1.p","Unknown","","Error",4.532062
result,"FEQ/LAT350+1.p","Unknown","","Timeout",3.056898
result,"FEQ/LAT374+3.p","Unknown","","Error",5.006414
result,"FEQ/LAT378+3.p","Unknown","","Error",5.026685
result,"FEQ/LCL448+1.p","Unknown","","Timeout",3.124473
result,"FEQ/LCL458+1.p","Unknown","","Timeout",3.071128
result,"FEQ/LCL467+1.p","Unknown","","Timeout",3.033128
result,"FEQ/LCL479+1.p","Unknown","","Timeout",3.008708
result,"FEQ/LCL518+1.p","Unknown","","Timeout",3.038989
result,"FEQ/LCL524+1.p","Unknown","","Timeout",3.222296
result,"FEQ/LCL537+1.p","Unknown","","Timeout",3.088210
result,"FEQ/LCL547+1.p","Unknown","","Timeout",3.050906
result,"FEQ/LCL550+1.p","Unknown","","Timeout",3.041413
result,"FEQ/LCL552+1.p","Unknown","","Timeout",3.022487
result,"FEQ/LCL559+1.p","Unknown","","Timeout",3.012183
result,"FEQ/LCL561+1.p","Unknown","","Timeout",3.028856
result,"FEQ/LCL888+1.p","Unknown","","Timeout",3.006791
result,"FEQ/LCL889+1.p","Unknown","","Timeout",3.006314
result,"FEQ/LCL894+1.p","Unknown","","Timeout",3.007347
result,"FEQ/LCL895+1.p","Unknown","","Timeout",3.006475
result,"FEQ/LCL896+1.p","Unknown","","Timeout",3.007245
result,"FEQ/LCL898+1.p","Unknown","","Timeout",3.006804
result,"FEQ/LCL901+1.p","Unknown","","Timeout",3.006656
result,"FEQ/MGT039+2.p","Unknown","","Timeout",3.008914
result,"FEQ/MGT054+1.p","Unknown","","Unsatisfiable",0.099975
result,"FEQ/MGT061+1.p","Unknown","","Unsatisfiable",0.072546
result,"FEQ/MSC010+1.p","Unknown","","Error",5.156541
result,"FEQ/NUM293+1.p","Unknown","","Unsatisfiable",0.206632
result,"FEQ/NUM314+1.p","Unknown","","Timeout",3.013194
result,"FEQ/NUM317+1.p","Unknown","","Timeout",3.013465
result,"FEQ/NUM325+1.p","Unknown","","Timeout",3.011899
result,"FEQ/NUM337+1.p","Unknown","","Timeout",3.012766
result,"FEQ/NUM479+2.p","Unknown","","Timeout",3.008718
result,"FEQ/NUM481+1.p","Unknown","","Timeout",3.007744
result,"FEQ/NUM587+1.p","Unknown","","Timeout",3.009401
result,"FEQ/NUM656+4.p","Unknown","","Timeout",3.012461
result,"FEQ/NUM658+4.p","Unknown","","Timeout",3.010410
result,"FEQ/NUM659+4.p","Unknown","","Timeout",3.056308
result,"FEQ/NUM671+4.p","Unknown","","Timeout",3.033964
result,"FEQ/NUM672+4.p","Unknown","","Timeout",3.011317
result,"FEQ/NUM695+4.p","Unknown","","Timeout",3.012822
result,"FEQ/NUM701+4.p","Unknown","","Timeout",3.024065
result,"FEQ/NUM703+4.p","Unknown","","Timeout",3.012245
result,"FEQ/NUM708+4.p","Unknown","","Timeout",3.012766
result,"FEQ/NUM736+4.p","Unknown","","Timeout",3.015286
result,"FEQ/NUM782+4.p","Unknown","","Timeout",3.018513
result,"FEQ/NUM783+4.p","Unknown","","Timeout",3.022624
result,"FEQ/NUM785+4.p","Unknown","","Timeout",3.052618
result,"FEQ/NUM787+4.p","Unknown","","Timeout",3.040715
result,"FEQ/NUM788+4.p","Unknown","","Timeout",3.019616
result,"FEQ/NUM789+4.p","Unknown","","Timeout",3.021005
result,"FEQ/NUM790+4.p","Unknown","","Timeout",3.021294
result,"FEQ/NUM791+4.p","Unknown","","Timeout",3.045827
result,"FEQ/NUM835+1.p","Unknown","","Timeout",3.006766
result,"FEQ/NUM839+2.p","Unknown","","Timeout",3.011131
