# bench_date,"2026-05-17_18-21-10"
# problem_dir,"/home/delahayed/problems/casc/casc-30-2025/Problems/FOF"
# home,"/home/delahaye/ip/bench/problems/casc/casc-30-2025/Problems/FOF"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,"casc-30-2025_fof"
# only_ip,false
# version_ip,"c7cb440"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"FEQ/AGT005+1.p","Unknown","","Timeout",3.107763,"Theorem",0.103312,"Timeout",3.045195,"Timeout",3.389696
result,"FEQ/AGT011+2.p","Unknown","","Timeout",3.053166,"Theorem",0.098330,"Timeout",3.049343,"Timeout",3.068858
result,"FEQ/AGT013+1.p","Unknown","","Timeout",3.016659,"Theorem",0.115031,"Timeout",3.048653,"Timeout",3.463358
result,"FEQ/AGT013+2.p","Unknown","","Timeout",3.013578,"Theorem",0.109466,"Timeout",3.042749,"Timeout",3.070471
result,"FEQ/AGT023+2.p","Unknown","","Timeout",3.013567,"Theorem",0.106864,"Timeout",3.059144,"Timeout",3.550026
result,"FEQ/ALG049+1.p","Unknown","","Error",5.061653,"Theorem",0.233828,"Theorem",0.548446,"Timeout",3.230505
result,"FEQ/ALG102+1.p","Unknown","","Error",4.946935,"Theorem",1.218794,"Timeout",3.036638,"Timeout",3.125900
result,"FEQ/ALG104+1.p","Unknown","","Error",5.020512,"Theorem",0.219133,"Timeout",3.039286,"Timeout",3.302459
result,"FEQ/ALG107+1.p","Unknown","","Timeout",3.101204,"Theorem",0.195117,"Theorem",0.076180,"Timeout",3.149687
result,"FEQ/ALG127+1.p","Unknown","","Error",4.714110,"Theorem",0.198751,"Theorem",0.508117,"Timeout",3.306381
result,"FEQ/ALG210+2.p","Unknown","","Timeout",3.018132,"Theorem",0.038751,"Theorem",0.008977,"Timeout",3.575409
result,"FEQ/ALG215+2.p","Unknown","","Timeout",4.848254,"Theorem",1.168714,"Timeout",3.049503,"Timeout",5.470458
result,"FEQ/ALG215+4.p","Unknown","","Error",5.007552,"Timeout",3.008982,"Timeout",7.860575,"Timeout",4.203457
result,"FEQ/ALG216+4.p","Unknown","","Error",5.086768,"Theorem",2.556670,"Timeout",3.179704,"Timeout",3.237514
result,"FEQ/BIO005+1.p","Unknown","","Error",0.074662,"Timeout",2.936309,"Timeout",3.077512,"Error",0.054296
result,"FEQ/BIO006+1.p","Unknown","","Error",0.023840,"Timeout",2.957133,"Timeout",3.044459,"Error",0.062103
result,"FEQ/CAT034+2.p","Unknown","","Timeout",3.586472,"Theorem",0.672105,"Timeout",3.067805,"Timeout",4.111390
result,"FEQ/COM125+1.p","Unknown","","Timeout",3.419715,"Theorem",0.053943,"Theorem",0.179803,"Unsatisfiable",0.039857
result,"FEQ/COM126+1.p","Unknown","","Timeout",3.401371,"Theorem",0.739322,"Theorem",0.272728,"Timeout",3.601714
result,"FEQ/COM127+1.p","Unknown","","Timeout",3.404872,"Theorem",0.092252,"Theorem",0.052172,"Timeout",3.188033
