# bench_date,"2026-05-17_22-44-30"
# problem_dir,"/home/delahayed/problems/casc/casc-30-2025/Problems/FOF"
# home,"/home/delahaye/ip/bench/problems/casc/casc-30-2025/Problems/FOF"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,240
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,"casc-30-2025_fof"
# only_ip,true
# version_ip,"f124c43"

section,problem,expected_status,rating,ip,ip_time_s
result,"FEQ/AGT005+1.p","Unknown","","Timeout",240.163683
result,"FEQ/AGT011+2.p","Unknown","","Timeout",240.309314
result,"FEQ/AGT013+1.p","Unknown","","Timeout",240.043731
result,"FEQ/AGT013+2.p","Unknown","","Timeout",240.032593
result,"FEQ/AGT023+2.p","Unknown","","Timeout",240.033179
result,"FEQ/ALG049+1.p","Unknown","","Timeout",244.490565
result,"FEQ/ALG102+1.p","Unknown","","Error",5.642608
result,"FEQ/ALG104+1.p","Unknown","","Error",5.489287
result,"FEQ/ALG107+1.p","Unknown","","Timeout",240.097894
result,"FEQ/ALG127+1.p","Unknown","","Error",5.175031
result,"FEQ/ALG210+2.p","Unknown","","Timeout",240.118837
result,"FEQ/ALG215+2.p","Unknown","","Timeout",241.931518
result,"FEQ/ALG215+4.p","Unknown","","Error",18.124194
result,"FEQ/ALG216+4.p","Unknown","","Error",8.167510
result,"FEQ/BIO005+1.p","Unknown","","Error",0.075047
result,"FEQ/BIO006+1.p","Unknown","","Error",0.013140
result,"FEQ/CAT034+2.p","Unknown","","Timeout",240.461115
result,"FEQ/COM125+1.p","Unknown","","Timeout",240.474747
result,"FEQ/COM126+1.p","Unknown","","Timeout",240.445697
result,"FEQ/COM127+1.p","Unknown","","Timeout",240.448899
result,"FEQ/COM130+1.p","Unknown","","Timeout",240.446211
result,"FEQ/COM131+1.p","Unknown","","Timeout",240.509269
result,"FEQ/COM133+1.p","Unknown","","Timeout",240.449558
result,"FEQ/COM135+1.p","Unknown","","Timeout",240.446603
result,"FEQ/COM141+1.p","Unknown","","Timeout",240.456152
result,"FEQ/COM142+1.p","Unknown","","Timeout",240.457021
result,"FEQ/COM143+1.p","Unknown","","Timeout",240.450899
result,"FEQ/COM149+1.p","Unknown","","Timeout",240.475214
result,"FEQ/CSR003+1.p","Unknown","","Timeout",240.117874
result,"FEQ/CSR006+1.p","Unknown","","Timeout",240.030826
result,"FEQ/CSR015+1.p","Unknown","","Timeout",240.063419
result,"FEQ/CSR037+5.p","Unknown","","Timeout",242.100398
result,"FEQ/CSR040+4.p","Unknown","","Timeout",240.312276
result,"FEQ/CSR047+4.p","Unknown","","Timeout",240.184971
result,"FEQ/CSR047+5.p","Unknown","","Timeout",241.902102
result,"FEQ/CSR052+4.p","Unknown","","Timeout",240.178527
result,"FEQ/CSR058+4.p","Unknown","","Timeout",240.169241
result,"FEQ/CSR069+4.p","Unknown","","Timeout",240.172178
result,"FEQ/CSR117+1.p","Unknown","","Timeout",240.019941
result,"FEQ/CSR170+1.p","Unknown","","Error",111.662008
result,"FEQ/CSR201+1.p","Unknown","","Error",89.688878
result,"FEQ/CSR210+1.p","Unknown","","Error",32.375875
result,"FEQ/CSR218+1.p","Unknown","","Error",51.925997
result,"FEQ/CSR219+1.p","Unknown","","Error",38.017336
result,"FEQ/CSR228+1.p","Unknown","","Error",85.566647
result,"FEQ/CSR248+1.p","Unknown","","Error",166.416842
result,"FEQ/GEO084+1.p","Unknown","","Timeout",240.107943
result,"FEQ/GEO087+1.p","Unknown","","Unsatisfiable",0.030512
result,"FEQ/GEO088+1.p","Unknown","","Timeout",240.012109
result,"FEQ/GEO089+1.p","Unknown","","Timeout",240.016639
result,"FEQ/GEO109+1.p","Unknown","","Timeout",240.054777
result,"FEQ/GEO111+1.p","Unknown","","Timeout",240.013859
result,"FEQ/GEO125+1.p","Unknown","","Timeout",240.069640
result,"FEQ/GEO126+1.p","Unknown","","Timeout",240.015162
result,"FEQ/GEO127+1.p","Unknown","","Timeout",240.071931
