# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/AGT005+1.p","Unknown","","Timeout",2.962026,"equality-light","false","629","4","0.004994","5.436954","0.833068","0.265918"
result,"FEQ/AGT011+2.p","Unknown","","Timeout",2.964793,"equality-light","false","996","4","0.003425","4.816781","0.894578","0.185788"
result,"FEQ/AGT013+1.p","Unknown","","Timeout",2.961682,"equality-light","false","629","4","0.004994","5.435705","0.833068","0.264669"
result,"FEQ/AGT013+2.p","Unknown","","Timeout",2.964071,"equality-light","false","996","4","0.003425","4.816781","0.894578","0.185788"
result,"FEQ/AGT023+2.p","Unknown","","Timeout",2.966015,"equality-light","false","996","4","0.003425","4.815925","0.894578","0.185788"
result,"FEQ/ALG049+1.p","Unknown","","Timeout",3.018938,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ALG102+1.p","Unknown","","Timeout",3.026086,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ALG104+1.p","Unknown","","Timeout",3.030035,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ALG107+1.p","Unknown","","Timeout",2.934104,"equality-heavy","false","1778","23058","1.000000","8.561107","0.082115","0.893573"
result,"FEQ/ALG127+1.p","Unknown","","Timeout",3.028887,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ALG210+2.p","Unknown","","Theorem",0.007776,"equality-heavy","false","8","6","0.500000","4.166667","0.625000","0.416667"
result,"FEQ/ALG215+2.p","Unknown","","Timeout",3.016870,"equality-heavy","false","49199","180082","0.308638","5.347271","0.018415","0.503665"
result,"FEQ/ALG215+4.p","Unknown","","Timeout",3.018570,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/ALG216+4.p","Unknown","","Timeout",3.016664,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/BIO005+1.p","Unknown","","Timeout",3.023460,"equality-light","false","348097","106164","0.151847","3.155589","0.002054","0.545295"
result,"FEQ/BIO006+1.p","Unknown","","Timeout",3.022566,"equality-light","false","348097","106164","0.151847","3.155589","0.002054","0.545295"
result,"FEQ/CAT034+2.p","Unknown","","Timeout",3.008754,"equality-heavy","false","22665","107290","0.418980","4.541277","0.033620","0.672462"
result,"FEQ/COM125+1.p","Unknown","","Timeout",3.012933,"equality-heavy","false","31139","204398","0.906453","10.086943","0.000289","0.254679"
result,"FEQ/COM126+1.p","Unknown","","Timeout",3.014365,"equality-heavy","false","31138","204396","0.906465","10.086985","0.000289","0.254675"
result,"FEQ/COM127+1.p","Unknown","","Timeout",3.012686,"equality-heavy","false","31136","204396","0.906489","10.087116","0.000289","0.254673"
result,"FEQ/COM130+1.p","Unknown","","Timeout",3.011985,"equality-heavy","false","31139","204397","0.906465","10.086989","0.000321","0.254674"
result,"FEQ/COM131+1.p","Unknown","","Timeout",2.981560,"equality-heavy","false","31141","204398","0.906449","10.086898","0.000353","0.254691"
result,"FEQ/COM133+1.p","Unknown","","Timeout",3.006721,"equality-heavy","false","31141","204399","0.906422","10.086780","0.000289","0.254695"
result,"FEQ/COM135+1.p","Unknown","","Timeout",3.014278,"equality-heavy","false","31137","204396","0.906477","10.087057","0.000289","0.254670"
result,"FEQ/COM141+1.p","Unknown","","Timeout",2.997598,"equality-heavy","false","31137","204401","0.906491","10.087074","0.000289","0.254681"
result,"FEQ/COM142+1.p","Unknown","","Timeout",3.012743,"equality-heavy","false","31136","204398","0.906498","10.087138","0.000289","0.254673"
result,"FEQ/COM143+1.p","Unknown","","Timeout",2.999201,"equality-heavy","false","31134","204396","0.906513","10.087256","0.000289","0.254662"
result,"FEQ/COM149+1.p","Unknown","","Timeout",2.997675,"equality-heavy","false","31136","204397","0.906493","10.087103","0.000289","0.254673"
result,"FEQ/CSR003+1.p","Unknown","","Theorem",2.353267,"equality-heavy","false","135","176","0.434568","4.039506","0.185185","0.390123"
result,"FEQ/CSR006+1.p","Unknown","","Theorem",2.461236,"equality-heavy","false","135","176","0.434568","4.041975","0.185185","0.390123"
result,"FEQ/CSR015+1.p","Unknown","","Timeout",2.964471,"equality-light","false","628","2269","0.625069","3.190083","0.035032","0.310468"
result,"FEQ/CSR037+5.p","Unknown","","Timeout",3.022027,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/CSR040+4.p","Unknown","","Timeout",3.009270,"equality-light","false","44216","5","0.000076","3.444775","0.538493","0.327222"
result,"FEQ/CSR047+4.p","Unknown","","Timeout",3.009041,"equality-light","false","44216","5","0.000076","3.444730","0.538493","0.327237"
result,"FEQ/CSR047+5.p","Unknown","","Timeout",3.018496,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/CSR052+4.p","Unknown","","Timeout",3.012922,"equality-light","false","44216","5","0.000076","3.444791","0.538493","0.327237"
