# bench_date,"2026-05-29_14-13-14"
# problem_dir,"bench/problems/equality"
# home,
# logs_dir,"bench_logs_new"
# time_limit_seconds,5
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"eq_large_01.p","Unknown","","Unsatisfiable",0.006756
result,"eq_large_02.p","Unknown","","Unsatisfiable",0.005874
result,"eq_large_03.p","Unknown","","Unsatisfiable",0.006409
result,"eq_large_04.p","Unknown","","Unsatisfiable",0.006562
result,"eq_large_05.p","Unknown","","Unsatisfiable",0.005986
result,"eq_large_06.p","Unknown","","Unsatisfiable",0.007158
result,"eq_large_07.p","Unknown","","Unsatisfiable",0.006638
result,"eq_large_08.p","Unknown","","Timeout",5.006096
result,"eq_large_09.p","Unknown","","Unsatisfiable",0.007027
result,"eq_large_10.p","Unknown","","Timeout",5.006647
result,"eq_medium_01.p","Unknown","","Unsatisfiable",0.007245
result,"eq_medium_02.p","Unknown","","Unsatisfiable",0.006008
result,"eq_medium_03.p","Unknown","","Unsatisfiable",0.005279
result,"eq_medium_04.p","Unknown","","Unsatisfiable",0.005900
result,"eq_medium_05.p","Unknown","","Unsatisfiable",0.005522
result,"eq_medium_06.p","Unknown","","Unsatisfiable",0.005890
result,"eq_medium_07.p","Unknown","","Unsatisfiable",0.006497
result,"eq_medium_08.p","Unknown","","Unsatisfiable",0.005308
result,"eq_medium_09.p","Unknown","","Unsatisfiable",0.004641
result,"eq_medium_10.p","Unknown","","Unsatisfiable",0.005696
result,"eq_small_01.p","Unknown","","Unsatisfiable",0.004629
result,"eq_small_02.p","Unknown","","Unsatisfiable",0.005396
result,"eq_small_03.p","Unknown","","Unsatisfiable",0.005749
result,"eq_small_04.p","Unknown","","Unsatisfiable",0.005820
result,"eq_small_05.p","Unknown","","Unsatisfiable",0.005383
result,"eq_small_06.p","Unknown","","Unsatisfiable",0.006020
result,"eq_small_07.p","Unknown","","Unsatisfiable",0.005545
result,"eq_small_08.p","Unknown","","Unsatisfiable",0.006378
result,"eq_small_09.p","Unknown","","Unsatisfiable",0.006059
result,"eq_small_10.p","Unknown","","Unsatisfiable",0.005730

section,prover,scope,total,success,timeout,incomplete,unsound,error,avg_time_s
prover_stats,"ip","Tous",30,"28 (93.3%)","2 (6.7%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.339328
prover_stats,"ip","Theorem/Unsatisfiable",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
prover_stats,"ip","Theorem (FOF)",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
prover_stats,"ip","Unsatisfiable (CNF)",0,"0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0 (0.0%)",0.000000
