# bench_date,"2026-05-29_15-16-46"
# problem_dir,"/home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,"bench_logs_original_repro"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.010462
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.006338
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.007055
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.006160
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.006222
result,"SYN000^1.p","Theorem","0.22 v9.1.0","Error",0.006086
result,"SYN000^2.p","Satisfiable","? v9.2.1","Error",0.006026
result,"SYN000^3.p","Satisfiable","1.00 v7.1.0","Error",0.007220
result,"SYN000^6.p","Unknown","1.00 v9.0.0","Error",0.006125
result,"SYN000^7.p","Unknown","1.00 v9.0.0","Error",0.007184
result,"SYN000_1.p","Theorem","0.12 v9.1.0","Error",0.006602
result,"SYN000_2.p","Satisfiable","1.00 v9.1.0","Error",0.006618
result,"SYN000_3.p","Satisfiable","0.75 v9.0.0","Error",0.006717
result,"SYN000_4.p","Satisfiable","1.00 v9.1.0","Error",0.006377
result,"SYN000_5.p","Theorem","0.62 v7.5.0","Error",0.006430
result,"SYN000_6.p","Unknown","1.00 v9.0.0","Error",0.006661
result,"SYN000_7.p","Unknown","1.00 v9.0.0","Error",0.006383
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.007346
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.024978
result,"SYN001^4.001.p","CounterSatisfiable","0.67 v9.0.0","Error",0.008011
result,"SYN001^4.002.p","CounterSatisfiable","0.67 v9.0.0","Error",0.007646
result,"SYN001^4.003.p","CounterSatisfiable","0.67 v9.0.0","Error",0.007427
result,"SYN001^4.004.p","CounterSatisfiable","0.67 v9.0.0","Error",0.008103
