# bench_date,"2026-05-29_14-48-11"
# problem_dir,"/home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,"bench_logs_syn"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.007467
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.005380
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.006278
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.005248
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.005035
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.004635
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.138942
result,"SYN002-1.007.008.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.032007
result,"SYN003-1.006.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.020887
result,"SYN004-1.007.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.017377
result,"SYN005-1.010.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.022281
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.007762
