# bench_date,"2026-05-29_15-49-39"
# problem_dir,"/home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,"bench_logs_syn_final"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.010443
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.007227
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.008802
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.006571
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.006535
result,"SYN000^1.p","Theorem","0.22 v9.1.0","Error",0.006535
result,"SYN000^2.p","Satisfiable","? v9.2.1","Error",0.006484
result,"SYN000^3.p","Satisfiable","1.00 v7.1.0","Error",0.006787
result,"SYN000^6.p","Unknown","1.00 v9.0.0","Error",0.006327
result,"SYN000^7.p","Unknown","1.00 v9.0.0","Error",0.007052
result,"SYN000_1.p","Theorem","0.12 v9.1.0","Error",0.006542
result,"SYN000_2.p","Satisfiable","1.00 v9.1.0","Error",0.006718
result,"SYN000_3.p","Satisfiable","0.75 v9.0.0","Error",0.006625
result,"SYN000_4.p","Satisfiable","1.00 v9.1.0","Error",0.006486
result,"SYN000_5.p","Theorem","0.62 v7.5.0","Error",0.006460
result,"SYN000_6.p","Unknown","1.00 v9.0.0","Error",0.005820
result,"SYN000_7.p","Unknown","1.00 v9.0.0","Error",0.005994
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.007303
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.133992
result,"SYN001^4.001.p","CounterSatisfiable","0.67 v9.0.0","Error",0.007462
result,"SYN001^4.002.p","CounterSatisfiable","0.67 v9.0.0","Error",0.006577
result,"SYN001^4.003.p","CounterSatisfiable","0.67 v9.0.0","Error",0.006273
result,"SYN001^4.004.p","CounterSatisfiable","0.67 v9.0.0","Error",0.006649
