# bench_date,"2026-05-29_14-23-22"
# problem_dir,"/home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/"
# home,
# logs_dir,"bench_logs_syn_stable"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,true
# version_ip,"d864328"

section,problem,expected_status,rating,ip,ip_time_s
result,"SYN000+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.009490
result,"SYN000+2.p","Satisfiable","0.83 v9.0.0","Error",0.006677
result,"SYN000-1.p","Unsatisfiable","0.18 v9.1.0","Unsatisfiable",0.008227
result,"SYN000-2.p","Satisfiable","0.75 v9.1.0","Error",0.005377
result,"SYN000-3.p","Satisfiable","? v8.0.0","Error",0.005553
result,"SYN000^1.p","Theorem","0.22 v9.1.0","Error",0.005632
result,"SYN000^2.p","Satisfiable","? v9.2.1","Error",0.006311
result,"SYN000^3.p","Satisfiable","1.00 v7.1.0","Error",0.005835
result,"SYN000^6.p","Unknown","1.00 v9.0.0","Error",0.006245
result,"SYN000^7.p","Unknown","1.00 v9.0.0","Error",0.006665
result,"SYN000_1.p","Theorem","0.12 v9.1.0","Error",0.006847
result,"SYN000_2.p","Satisfiable","1.00 v9.1.0","Error",0.005922
result,"SYN000_3.p","Satisfiable","0.75 v9.0.0","Error",0.006399
result,"SYN000_4.p","Satisfiable","1.00 v9.1.0","Error",0.005779
result,"SYN000_5.p","Theorem","0.62 v7.5.0","Error",0.006291
result,"SYN000_6.p","Unknown","1.00 v9.0.0","Error",0.005666
result,"SYN000_7.p","Unknown","1.00 v9.0.0","Error",0.006279
result,"SYN001+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.007560
result,"SYN001-1.005.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.150901
result,"SYN001^4.001.p","CounterSatisfiable","0.67 v9.0.0","Error",0.007197
result,"SYN001^4.002.p","CounterSatisfiable","0.67 v9.0.0","Error",0.007708
result,"SYN001^4.003.p","CounterSatisfiable","0.67 v9.0.0","Error",0.006796
result,"SYN001^4.004.p","CounterSatisfiable","0.67 v9.0.0","Error",0.006115
result,"SYN002-1.007.008.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.028349
result,"SYN003-1.006.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.025339
result,"SYN004-1.007.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.018574
result,"SYN005-1.010.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.027217
result,"SYN006-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.010583
